date,returns
2016-01-04,
2016-01-05,
2016-01-06,
2016-01-07,
2016-01-08,
2016-01-11,
2016-01-12,
2016-01-13,
2016-01-14,
2016-01-15,
2016-01-19,
2016-01-20,
2016-01-21,
2016-01-22,
2016-01-25,
2016-01-26,
2016-01-27,
2016-01-28,
2016-01-29,
2016-02-01,
2016-02-02,
2016-02-03,
2016-02-04,
2016-02-05,
2016-02-08,
2016-02-09,
2016-02-10,
2016-02-11,
2016-02-12,
2016-02-16,
2016-02-17,
2016-02-18,
2016-02-19,
2016-02-22,
2016-02-23,
2016-02-24,
2016-02-25,
2016-02-26,
2016-02-29,
2016-03-01,
2016-03-02,
2016-03-03,
2016-03-04,
2016-03-07,
2016-03-08,
2016-03-09,
2016-03-10,
2016-03-11,
2016-03-14,
2016-03-15,-0.00015106671632947904
2016-03-16,0.0008427257246361037
2016-03-17,0.0014933264637677136
2016-03-18,0.000439085473715396
2016-03-21,0.0005214407619931841
2016-03-22,-0.0005152997592124251
2016-03-23,0.00023851366187821685
2016-03-24,0.00033988355208309395
2016-03-28,-0.0001492943101673438
2016-03-29,0.0003720475082826455
2016-03-30,0.0005635732451228256
2016-03-31,0.00023768058421238126
2016-04-01,0.0004934521655458025
2016-04-04,0.00026893958134822075
2016-04-05,-0.0015958311028653174
2016-04-06,0.00149481745120353
2016-04-07,-0.002910315394075598
2016-04-08,5.403725269033552e-05
2016-04-11,-0.0020794059738096183
2016-04-12,0.0024297621332166515
2016-04-13,0.0012255833255730177
2016-04-14,0.0011661928009497884
2016-04-15,0.00032207920797282415
2016-04-18,0.005884454075221892
2016-04-19,0.0029431051574105136
2016-04-20,0.0032417387293112096
2016-04-21,-0.005338213612335899
2016-04-22,0.0063881264391328265
2016-04-25,-0.0002771945865218193
2016-04-26,0.006744476744460014
2016-04-27,0.00035416428351909966
2016-04-28,-0.01032853902507367
2016-04-29,-0.0042514047732067255
2016-05-02,0.006025983235072047
2016-05-03,-0.005622426538901973
2016-05-04,-0.0017036459929596246
2016-05-05,0.002759445828873576
2016-05-06,0.010553209815513142
2016-05-09,0.00044947841243249984
2016-05-10,0.011616483120503812
2016-05-11,0.01812848705336788
2016-05-12,0.00044077515347927613
2016-05-13,0.0026091990242455517
2016-05-16,0.0052745622715399095
2016-05-17,-0.0021668011745772744
2016-05-18,0.0017025253765416341
2016-05-19,-0.002354636454849537
2016-05-20,0.007415935706635893
2016-05-23,0.013802898159040606
2016-05-24,0.0042502449711668
2016-05-25,-0.002292634055856237
2016-05-26,0.0030600956796464985
2016-05-27,0.014838434855604807
2016-05-31,0.0031427405561659204
2016-06-01,0.009475926583676917
2016-06-02,0.00572905957197274
2016-06-03,0.005605493970568645
2016-06-06,-0.002802059857587049
2016-06-07,0.006856484494712725
2016-06-08,0.004137311561768024
2016-06-09,0.00048721704363724716
2016-06-10,-0.007995307633555509
2016-06-13,0.00013049305240782921
2016-06-14,0.0011967915559095293
2016-06-15,-0.00039803040502075794
2016-06-16,0.007094279681291322
2016-06-17,0.0021530618495450636
2016-06-20,0.0024058027002287863
2016-06-21,0.0024523772899251836
2016-06-22,-0.004647489653005398
2016-06-23,0.012885953684670085
2016-06-24,0.006638999953626949
2016-06-27,-0.003671902680530629
2016-06-28,0.004130147028637963
2016-06-29,-0.0064442213550404024
2016-06-30,0.006499475774765904
2016-07-01,0.0008852266845599102
2016-07-05,0.001774643432428632
2016-07-06,0.001143226278341957
2016-07-07,0.0011579204820194222
2016-07-08,0.014332007431085385
2016-07-11,0.0028285994130966973
2016-07-12,0.004781468749918672
2016-07-13,0.002654814077840962
2016-07-14,0.003450895812761315
2016-07-15,-0.0009373601721687797
2016-07-18,0.0030018481389164787
2016-07-19,-0.0007708044484171189
2016-07-20,0.00252297676242115
2016-07-21,-0.0025322391130578794
2016-07-22,0.002638704996316245
2016-07-25,-0.0005287265334434889
2016-07-26,0.0045806325717137435
2016-07-27,-0.0005587455758401322
2016-07-28,0.003863937176866481
2016-07-29,0.0015309614402794886
2016-08-01,0.0025493039624635747
2016-08-02,-0.004165749781461399
2016-08-03,0.0019654816289817727
2016-08-04,0.004287434296881162
2016-08-05,0.003376638879897466
2016-08-08,-0.0005056670612617339
2016-08-09,-0.0020481125928952936
2016-08-10,-0.0023550670646079685
2016-08-11,0.005073406094331094
2016-08-12,-0.0017708979288398776
2016-08-15,0.0036770780762219444
2016-08-16,-0.005104286935078591
2016-08-17,-0.003114228434614223
2016-08-18,0.003892230710018501
2016-08-19,0.0024065499275787417
2016-08-22,-0.0012534047415759255
2016-08-23,0.004468317045629456
2016-08-24,-0.00428374950935714
2016-08-25,-0.002826661272054241
2016-08-26,0.0033603708563951576
2016-08-29,-0.002458301353538443
2016-08-30,-0.004512713022161729
2016-08-31,-0.003677506749608952
2016-09-01,0.006710249351789213
2016-09-02,-0.0001608563309486988
2016-09-06,-0.0004464953964153181
2016-09-07,-0.004855031364538794
2016-09-08,-0.002354302537273925
2016-09-09,-0.0033107367586138123
2016-09-12,0.0033298950443398515
2016-09-13,0.0072333809383174985
2016-09-14,0.003255797522871485
2016-09-15,0.008747161679291906
2016-09-16,0.008093545563418403
2016-09-19,-0.0009742527765385928
2016-09-20,0.0038475239222432937
2016-09-21,0.005259866896194999
2016-09-22,0.003882460882112829
2016-09-23,0.0028122740101256443
2016-09-26,-0.005085020679616544
2016-09-27,-0.00041872712407764245
2016-09-28,0.019517981240848872
2016-09-29,0.007830691473563734
2016-09-30,0.013316242008883936
2016-10-03,-0.006139792354383743
2016-10-04,-0.0008611357255554706
2016-10-05,0.012896391010255378
2016-10-06,-0.010207413479067827
2016-10-07,-0.0016074478849214487
2016-10-10,-0.0004372372136811149
2016-10-11,-0.00949544051287848
2016-10-12,0.0010408369318628365
2016-10-13,0.0016273571897824379
2016-10-14,-0.0003462695169143284
2016-10-17,-0.0032698338848370593
2016-10-18,-0.0030377480824407654
2016-10-19,-0.0008631217369650699
2016-10-20,-0.0022513523173185637
2016-10-21,0.0013928336869170799
2016-10-24,0.01603404906769567
2016-10-25,-0.004829613369967742
2016-10-26,-0.0040007079984574045
2016-10-27,-0.0033114622415761643
2016-10-28,0.0006057465705195831
