smoothing,lev_min,lev_max,threshold,cost_per_trade,sharpe,improvement,annual_return,annual_vol,annual_cost
40,0.2,2.8,0.1,0.0001,3.584362213226791,0.22804366927636388,0.46597431420669677,0.13000201611522053,0.0012732257686260515
40,0.2,2.8,0.05,0.0001,3.579844538692597,0.22649586208458633,0.4653186833362699,0.1299829303498777,0.00143221009138692
40,0.2,2.8,0.07,0.0001,3.578823300153424,0.22614597402968384,0.4651219043568784,0.12996503748506907,0.0013739205090657178
40,0.2,2.8,0.03,0.0001,3.5750828189970605,0.22486444221708704,0.4649363670176341,0.13004911789653742,0.001508044915112731
80,0.2,2.8,0.1,0.0001,3.5748356411318087,0.22477975624101923,0.41271105856669354,0.11544896045515184,0.0012757277972775256
40,0.2,2.8,0.01,0.0001,3.574232531333984,0.2245731238961173,0.46483039346975397,0.1300504064564229,0.001566267918308125
80,0.2,2.8,0.03,0.0001,3.552084995019642,0.21698512353707675,0.4156051951608586,0.11700316736327432,0.0014979727414861938
80,0.2,2.8,0.05,0.0001,3.534072753634273,0.21081392272451513,0.41596643076764295,0.11770171690435144,0.0014229353684910599
80,0.2,2.8,0.01,0.0001,3.5340636716137026,0.2108108111199389,0.41589402296352684,0.11768153084056458,0.001564060606032304
80,0.2,2.8,0.07,0.0001,3.5284601572331984,0.20889098272333206,0.41512493150453156,0.11765045175684993,0.0013434011225305462
40,0.3,2.5,0.1,0.0001,3.527175394402708,0.2084508082190135,0.4149549683962117,0.11764511882644277,0.0010577235455438883
40,0.2,2.8,0.1,0.0005,3.52698497982603,0.2083855699976741,0.4585371520840438,0.13000825200754365,0.006366128843130258
80,0.3,2.5,0.1,0.0001,3.5180261255026894,0.20531616359249846,0.3731634114416025,0.10607181360493202,0.0010646903499890842
40,0.2,2.8,0.07,0.0005,3.516725130707232,0.20487042783051895,0.4571014237098707,0.1299792866148584,0.0068696025453285885
40,0.2,2.8,0.05,0.0005,3.51520774562453,0.20435055427036639,0.45695834468559293,0.1299946909978168,0.007161050456934598
80,0.2,2.8,0.1,0.0005,3.512257961859072,0.20333992446695603,0.40552824606410565,0.11546083757739015,0.006378638986387627
40,0.2,2.8,0.03,0.0005,3.507245809532365,0.20162270350319628,0.4561378970163221,0.13005586770581695,0.007540224575563656
40,0.3,2.5,0.07,0.0001,3.506402647212026,0.20133382640650016,0.4159359469175601,0.11862184374298106,0.0011245368984848627
40,0.2,2.8,0.01,0.0005,3.503760706208218,0.20042866706954585,0.4556937536798855,0.13005846913930344,0.007831339591540623
40,0.3,2.5,0.05,0.0001,3.5020501358078504,0.19984260600036285,0.41574137437123215,0.11871371289644009,0.0011877573208031469
40,0.3,2.5,0.01,0.0001,3.4976847368953843,0.19834697018584124,0.4153983626737412,0.11876380918265869,0.0013207250215621323
